"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3216728","Martin  Konopka and Adam  Talian and Jozef  Tvarozek and Pavol  Navrat","","","","Data Flow Metrics in Program Comprehension Tasks","2:1--2:6","2","6","eye tracking, metrics, program comprehension","10.1145/3216723.3216728","","","","","","","2018","","Proceedings of the Workshop on Eye Movements in Programming","EMIP '18","","978-1-4503-5792-0","Warsaw, Poland","ACM","New York, NY, USA"
"article","3196357","Giovanni  Viviani and Calahan  Janik-Jones and Michalis  Famelis and Xin  Xia and Gail C. Murphy","","","","What Design Topics Do Developers Discuss?","328--331","","4","","10.1145/3196321.3196357","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196344","Johannes  H&#228;rtel and Hakan  Aksu and Ralf  L&#228;mmel","","","","Classification of APIs by Hierarchical Clustering","233--243","","11","APIs, clustering exploration, feature modeling, github, hierarchical clustering, maven central repository","10.1145/3196321.3196344","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","1993676","Bernhard  Haeupler","","","","Analyzing Network Coding Gossip Made Easy","293--302","","10","dynamic networks, gossip, multicast, network coding","10.1145/1993636.1993676","","","","","","","2011","","Proceedings of the Forty-third Annual ACM Symposium on Theory of Computing","STOC '11","","978-1-4503-0691-1","San Jose, California, USA","ACM","New York, NY, USA"
"article","2597141","Danilo  Silva and Ricardo  Terra and Marco Tulio  Valente","","","","Recommending Automated Extract Method Refactorings","146--156","","11","Extract Method, Program comprehension supporting tools, Refactoring, Self-documenting methods","10.1145/2597008.2597141","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2597788","Xin  Xia and David  Lo and Xingen  Wang and Chenyi  Zhang and Xinyu  Wang","","","","Cross-language Bug Localization","275--278","","4","Bug Localization, Cross-language, Rank, Translator","10.1145/2597008.2597788","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"proceeding","2597008","","","","General Chair-Chanchal K.  Roy and Program Chair-Andrew  Begel and Program Chair-Leon  Moonen","","","","","","","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","3196326","Xiaochen  Li and He  Jiang and Dong  Liu and Zhilei  Ren and Ge  Li","","","","Unsupervised Deep Bug Report Summarization","144--155","","12","bug report summarization, deep learning, mining software repositories, unsupervised learning","10.1145/3196321.3196326","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196348","Yun  Zhang and David  Lo and Xin  Xia and Jing  Jiang and Jianling  Sun","","","","Recommending Frequently Encountered Bugs","120--131","","12","","10.1145/3196321.3196348","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196365","Jevgenija  Pantiuchina and Gabriele  Bavota and Michele  Tufano and Denys  Poshyvanyk","","","","Towards Just-in-time Refactoring Recommenders","312--315","","4","code smells, refactoring","10.1145/3196321.3196365","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2556470","Mila Dalla Preda and Isabella  Mastroeni and Roberto  Giacobazzi","","","","Analyzing Program Dependencies for Malware Detection","6:1--6:7","6","7","","10.1145/2556464.2556470","","","","","","","2014","","Proceedings of ACM SIGPLAN on Program Protection and Reverse Engineering Workshop 2014","PPREW'14","","978-1-4503-2649-0","San Diego, CA, USA","ACM","New York, NY, USA"
